@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
5,4437030,1062,19,49,75607,0
2,1603,1660,0,0,67084,0
1,444,388,0,0,11796,0
3,1473,1087,0,0,37554,0
2,2557,2192,0,0,140543,0
1,408,483,0,0,2869,0
1,959,750,1,0,84754,0
2,1085,1193,0,0,16429,0
4,135415,2108,9,26,28567,0
2,1205,876,0,0,26093,0
1,936,1201,0,0,25415,0
5,3074649,1217,23,53,21606,0
3,22176,4262,0,0,137724,0
1,705,465,0,0,41447,0
5,50607976,36615,1439,4573,11449,0
3,1540,643,0,0,81081,0
2,762,659,0,0,44409,0
2,2408,1695,0,0,47531,0
3,15662,865,1,2,15679,0
2,603,422,0,0,59216,0
2,14362,2623,3,0,6119,0
2,1643,1191,0,0,55944,0
2,2995,2868,0,0,48784,0
2,1226,642,0,0,22847,0
4,1198055,1307652,4,34,146306,0
3,3267,1843,0,0,92102,0
3,2635,1774,0,0,36454,0
2,3402,1235,0,0,34930,0
5,1105685,219,114,282,19263,0
2,902,765,0,0,74650,0
2,387,249,0,0,6332,0
3,1308,1320,0,0,72237,0
1,650,541,0,0,27483,0
3,1629,409,1,0,121791,0
2,1263,1035,0,0,24047,0
2,1218,783,0,0,23810,0
2,475,381,0,0,16024,0
2,1302,1760,1,0,11186,0
2,620,242,0,0,10700,0
2,1557,1008,0,0,37724,0
5,616770,4412,126,181,212188,0
2,1039,700,0,0,65339,0
1,951,783,0,0,20790,0
2,1241,1489,0,0,18636,0
1,855,731,0,0,23064,0
2,277,609,0,0,11513,0
2,34572,32686,0,1,30365,0
2,761,790,0,0,8371,0
3,2282,693,0,0,231662,0
3,3070,2309,1,1,115271,0
4,150893,1326,1,2,30481,0
2,5379,3262,0,0,43357,0
2,1193,892,0,0,39168,0
2,9576,8438,1,1,35356,0
4,306304,1847,33,40,47780,0
2,1565,1037,0,0,34563,0
5,37451575,123,5069,14569,20470,0
3,1686,1217,0,0,215782,0
5,52902976,131480,4830,8054,7124,0
5,70850347,245668,11020,21055,30395,0
5,53231664,1151,6256,11534,9741,0
2,698,483,0,0,34693,0
2,1986,1359,0,0,19889,0
2,408,190,0,0,2303,0
2,900,663,0,0,11534,0
3,127686,160095,0,0,56856,0
2,3137,730,0,0,91445,0
2,988,911,0,0,72872,0
3,3829,2716,1,0,181604,0
2,2539,1212,0,0,121676,0
2,1428,700,18,6,26949,0
3,11240,8284,0,0,34363,0
2,2543,857,0,0,83506,0
2,925,720,0,0,11718,0
2,935,447,0,0,24304,0
1,1095,475,0,0,25355,0
2,1451,877,0,0,55898,0
3,3529,3843,0,0,137405,0
3,10022,2795,0,1,54712,0
3,3446,1076,0,0,82735,0
4,866404,490,97,135,67185,0
5,3176505,538,136,418,11500,0
3,31426,1625,0,0,16945,0
3,2013,1295,0,0,65319,0
2,1088,821,0,0,69028,0
2,1090,912,0,0,63051,0
2,1393,1248,0,0,26595,0
5,27075589,643,21898,27539,1661,0
3,3038,1029,1,0,56052,0
3,3787,2500,2,0,106476,0
5,501640,61771,19,86,12886,0
3,1167,807,0,0,114537,0
1,796,831,0,0,26208,0
5,24955866,43,5829,7154,1329,0
1,1040,942,0,0,33730,0
2,999,799,0,0,39408,0
3,2123,722,0,0,106957,0
3,16941,1079,1,7,62243,0
3,4865,555,0,1,70274,0
2,376,249,0,0,9143,0
2,932,523,0,0,27338,0
3,1177,860,0,0,18782,0
2,1694,811,0,0,82045,0
2,579,457,0,0,16639,0
3,27235,990,0,1,62998,0
2,733,425,0,0,34090,0
1,538,633,0,0,72390,0
2,2057,2256,0,0,43032,0
2,3438,1538,1,0,184123,0
2,615,381,0,0,22656,0
3,2825,782,0,0,361,0
2,2060,601,1,0,31948,0
3,3345,511,0,0,14223,0
2,2292,1664,1,0,59013,0
2,1050,797,0,0,44623,0
3,2799886,297,7,12,52443,0
1,663,578,0,0,16776,0
4,107090,935,5,12,35588,0
2,1061,385,0,0,32526,0
2,1606,814,0,0,81026,0
3,699,551,0,0,11229,0
5,20259906,3741,1814,4069,36018,0
2,533,270,0,0,22644,0
2,1128,813,0,0,121182,0
5,78556774,158,5242,11625,6757,0
5,4810453,876,110,158,111826,0
5,10774575,1735,28,54,31733,0
5,22326540,727,2467,5087,39131,0
4,100278,20929,0,2,378563,0
2,205,935,0,0,9360,0
2,501,4119,1,2,40,0
2,12967,214,0,0,395,0
2,107,544,0,0,2057,0
3,1652,4135,0,0,24581,0
3,70904,26767,0,0,12316,0
2,1819,2461,0,6,92,0
3,213,429,0,1,1656,0
2,396,609,0,0,16978,0
3,11301,10366,0,0,2149,0
4,2981,1038,278,227,21,0
2,132,268,0,0,273,0
3,9312,8785,2,2,2053,0
3,523,271,1,1,19029,0
3,2665,993,2,4,19323,0
2,1631,773,0,0,86156,0
2,26,53,0,0,33,0
2,6056,1610,0,0,15364,0
2,230,179,0,0,3045,0
2,201,413,0,0,3520,0
2,10,29,0,0,53,0
3,1068,5001,0,0,310,0
3,13048,12719,0,0,20422,0
3,37817,8639,10,25,1649,0
3,31,62,0,0,1121,0
2,9254,95,1,2,216,0
1,30,92,0,0,166,0
3,15723,3303,501,386,89,0
3,3980,3089,0,0,2253,0
2,521,1776,0,0,13,0
3,11441,6978,0,0,30758,0
2,80,131,0,0,209,0
1,76,692,0,1,29,0
2,295,326,0,0,13470,0
1,145,370,0,0,1491,0
2,161,944,0,0,8,0
2,3135,2510,1,0,109268,0
2,85,323,0,0,1878,0
1,20,448,0,0,79,0
1,17,403,0,0,77,0
2,5262,4863,2,10,43,0
2,352,368,0,0,819,0
3,230,300,0,0,2969,0
2,468,803,0,0,16039,0
2,1174,1312,0,0,19608,0
4,18083,1456,9,17,12811,0
3,2274,1516,0,0,1794,0
2,179,223,1,1,317,0
2,263,1329,0,0,21,0
3,150968,89282,4,6,36595,0
2,477,1093,0,1,2523,0
